what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1382127750978
java.specification.name,sysinfo,,,"Java Platform API Specification",1382127750978
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382127750978
java.specification.version,sysinfo,,,"1.6",1382127750978
java.vendor,sysinfo,,,"Apple Inc.",1382127750978
java.version,sysinfo,,,"1.6.0_65",1382127750978
java.vm.info,sysinfo,,,"mixed mode",1382127750978
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1382127750978
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382127750978
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382127750978
java.vm.specification.version,sysinfo,,,"1.0",1382127750978
java.vm.vendor,sysinfo,,,"Apple Inc.",1382127750978
java.vm.version,sysinfo,,,"20.65-b04-462",1382127750978
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1382127754240
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1382127754261
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1382127754273
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127762239
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1382127773854
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1382127778864
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1382127809504
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1382127810825
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127813119
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1382127814661
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1382127814671
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1382127817488
closed,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1382127817490
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127818831
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1382127818938
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1382127819270
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1382127819271
stopped,bundle,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.adt",1382127819271
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1382127819271
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1382127819273
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1382127819274
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1382127819276
